permalink,api_path,web_path,api_url,name,stock_exchange,stock_symbol,primary_role,short_description,profile_image_url,domain,homepage_url,facebook_url,twitter_url,linkedin_url,city_name,region_name,country_code,created_at,updated_at
putao-investment,organizations/putao-investment,organization/putao-investment,https://api.crunchbase.com/v3.1/organizations/putao-investment,Putao Investment,,,investor,Putao Investment is an investment firm.,,,,,,,Shanghai,Shanghai,China,1598884978,1598884978
shanghai-yike-investment,organizations/shanghai-yike-investment,organization/shanghai-yike-investment,https://api.crunchbase.com/v3.1/organizations/shanghai-yike-investment,Shanghai Yike Investment,,,investor,Shanghai Yike Investment is an investment firm.,,,,,,,Shanghai,Shanghai,China,1598884978,1598884978
hangzhou-zhongying-fupu-investment,organizations/hangzhou-zhongying-fupu-investment,organization/hangzhou-zhongying-fupu-investment,https://api.crunchbase.com/v3.1/organizations/hangzhou-zhongying-fupu-investment,Hangzhou Zhongying Fupu Investment,,,investor,Hangzhou Zhongying Fupu Investment is an investment firm.,,,,,,,Hangzhou,Zhejiang,China,1598884978,1598884978
shanghai-space-star-venture-investment-management-co-ltd,organizations/shanghai-space-star-venture-investment-management-co-ltd,organization/shanghai-space-star-venture-investment-management-co-ltd,https://api.crunchbase.com/v3.1/organizations/shanghai-space-star-venture-investment-management-co-ltd,"Shanghai Space-Star Venture Investment Management Co.,Ltd",,,investor,"Shanghai Space-Star Venture Investment Management Co.,Ltd is an investment firm.",,,,,,,Shanghai,Shanghai,China,1598884978,1598884978
venture-capital-guiding-fund-of-songjiang,organizations/venture-capital-guiding-fund-of-songjiang,organization/venture-capital-guiding-fund-of-songjiang,https://api.crunchbase.com/v3.1/organizations/venture-capital-guiding-fund-of-songjiang,Venture Capital Guiding Fund of Songjiang,,,investor,Venture Capital Guiding Fund of Songjiang is an investment firm.,,,,,,,Shanghai,Shanghai,China,1598884978,1598884978
qianhai-highsee,organizations/qianhai-highsee,organization/qianhai-highsee,https://api.crunchbase.com/v3.1/organizations/qianhai-highsee,Qianhai Highsee,,,investor,Qianhai Highsee is an investment firm.,,,,,,,Shenzhen,Guangdong,China,1598884978,1598884978
stash-5,organizations/stash-5,organization/stash-5,https://api.crunchbase.com/v3.1/organizations/stash-5,Stash,,,company,Stash is a New York-based digital investing and banking platform.,http://public.crunchbase.com/t_api_images/rn3qhsjhiu6kwcrumdml,stash.com,http://www.stash.com,https://www.facebook.com/pages/Stash/855127181245284,https://twitter.com/stash,https://www.linkedin.com/company/stashfinancial,New York,New York,United States,1439306992,1598884911
gamesense-sports,organizations/gamesense-sports,organization/gamesense-sports,https://api.crunchbase.com/v3.1/organizations/gamesense-sports,gameSense Sports,,,company,GameSense Sports offers software for Cognitive Sports Training,http://public.crunchbase.com/t_api_images/v9jr3gnaopsq1uqowdic,gamesensesports.com,https://www.gamesensesports.com,https://www.facebook.com/pg/gamesensesports,https://twitter.com/GameSenseSports,https://www.linkedin.com/company/gamesense-sports/,Denver,Colorado,United States,1542124939,1598884887
certificationpoint,organizations/certificationpoint,organization/certificationpoint,https://api.crunchbase.com/v3.1/organizations/certificationpoint,CertificationPoint,,,company,College Student Work Experience Builder,http://public.crunchbase.com/t_api_images/vollvr57ggaxv3000wzz,certificationpoint.org,http://www.certificationpoint.org,http://www.facebook.com/Certificationpoint1,http://twitter.com/CertPointOrg,http://www.linkedin.com/pub/certification-point/2b/164/65a,,,,1349823318,1598884842
webtronics-india,organizations/webtronics-india,organization/webtronics-india,https://api.crunchbase.com/v3.1/organizations/webtronics-india,Webtronics India,,,company,Webtronics India is one of the best online digital marketing company in India.,http://public.crunchbase.com/t_api_images/hgrpxxeyfqhenwqcavek,webtronicsindia.com/,https://webtronicsindia.com/,https://www.facebook.com/webtronicsindia/,https://twitter.com/webtronicsindia,https://www.linkedin.com/company/webtronicindia/,New Delhi,Delhi,India,1598884695,1598884695
kaleidoscope-a042,organizations/kaleidoscope-a042,organization/kaleidoscope-a042,https://api.crunchbase.com/v3.1/organizations/kaleidoscope-a042,Kaleidoscope,,,company,Kaleidoscope is a company that focuses on handling brand packaging support services to various industrial sectors.,http://public.crunchbase.com/t_api_images/d0wu9oiqytowh7fi0gwv,kaleidoscopeimaging.com/,https://www.kaleidoscopeimaging.com/,https://www.facebook.com/ThinkKaleidoscope/,https://twitter.com/comps_mockups,https://www.linkedin.com/company/think-kaleidoscope/,Chicago,Illinois,United States,1598514787,1598884675
giggl,organizations/giggl,organization/giggl,https://api.crunchbase.com/v3.1/organizations/giggl,Giggl,,,company,A virtual browser like no other. Your new portal into the internet.,http://public.crunchbase.com/t_api_images/scwy5d1durthl9woxebr,giggl.app,https://giggl.app,,https://twitter.com/gigglapp,,London,England,United Kingdom,1589063019,1598884624
servitech,organizations/servitech,organization/servitech,https://api.crunchbase.com/v3.1/organizations/servitech,Servitech,,,company,"Servitech renders electrical contractor, project management, contract administration, construction design, CAD and technical services.",http://public.crunchbase.com/t_api_images/t9gfytvbbfdufkmfyyhh,servitechinc.com,http://www.servitechinc.com,,,,Aurora,Colorado,United States,1598882137,1598884538
fronted,organizations/fronted,organization/fronted,https://api.crunchbase.com/v3.1/organizations/fronted,Fronted,,,company,"Fronted pay your deposit upfront, you pay us back in bite-sized chunks.",http://public.crunchbase.com/t_api_images/weqjkqdbkeunwnamrwnu,fronted.rent/,https://fronted.rent/,https://www.facebook.com/getfronted/,https://twitter.com/getfronted,https://www.linkedin.com/company/frontedrent/,London,England,United Kingdom,1575500405,1598884268
hotelrunner,organizations/hotelrunner,organization/hotelrunner,https://api.crunchbase.com/v3.1/organizations/hotelrunner,HotelRunner,,,company,"SaaS enabled B2B network for accommodations and travel agencies to find, contract, connect, and transact with each other online.",http://public.crunchbase.com/t_api_images/v1414247235/pkkpzkkbn5dgbvlncxpy.png,hotelrunner.com,https://www.hotelrunner.com,https://www.facebook.com/HotelRunner,https://twitter.com/HotelRunner,https://www.linkedin.com/company/hotelrunner,Newark,Delaware,United States,1414447921,1598884253
cubert-inc,organizations/cubert-inc,organization/cubert-inc,https://api.crunchbase.com/v3.1/organizations/cubert-inc,Cubert Inc.,,,company,Consumer Technology and Product Developer,http://public.crunchbase.com/t_api_images/xwka9qqmiz09u9k17z5r,cubert.co,https://www.cubert.co,,,https://www.linkedin.com/company/cubert-inc/,Toronto,Ontario,Canada,1598876128,1598884204
ten-capitol-advertising,organizations/ten-capitol-advertising,organization/ten-capitol-advertising,https://api.crunchbase.com/v3.1/organizations/ten-capitol-advertising,Ten Capitol Advertising,,,company,Ten Capitol Advertising is expertize in business marketing and advertising.,http://public.crunchbase.com/t_api_images/k0nzda7ngzlwxa791hgc,com/contact.html,https://tencapitol.com/contact.html,,,,Paeonian Springs,Virginia,United States,1598550466,1598884197
brochure-displays,organizations/brochure-displays,organization/brochure-displays,https://api.crunchbase.com/v3.1/organizations/brochure-displays,Brochure Displays,,,company,"Brochure Displays provides portable exhibit products that include carousels, trolleys, walls and counter displays.",http://public.crunchbase.com/t_api_images/dhozknogs55wie7ta449,brochuredisplays.com/,https://brochuredisplays.com/,,,https://www.linkedin.com/company/florida-folder-service-inc.-dba-brochure-displays-digital-press/,Daytona Beach,Florida,United States,1598513156,1598884170
upjaunt,organizations/upjaunt,organization/upjaunt,https://api.crunchbase.com/v3.1/organizations/upjaunt,UPJAUNT,,,company,"UPJAUNT is travel personalization and storytelling, experience monetization, and organic selling through travelers as micro-influencers",http://public.crunchbase.com/t_api_images/b128e6f77e273cd36a75,upjaunt.com/,https://www.upjaunt.com/,https://www.facebook.com/upjaunt,https://twitter.com/upjaunt,https://www.linkedin.com/company/upjaunt/,New York,New York,United States,1591218435,1598884095
